"","gene","logFC","p"
"1494","Rv0001",-0.584748423258226,0.000202444790151311
"1302","Rv0003",-0.769409718799141,9.22075176640795e-05
"2308","Rv0004",-0.322945323683919,0.00579315774383841
"2192","Rv0005",-0.243911478960886,0.00374581567268084
"2350","Rv0006",-0.208703892191686,0.00714460802178504
"2715","Rv0008c",0.398440248253463,0.031385183075096
"1627","Rv0010c",-0.611140194571997,0.000362406214482049
"2641","Rv0011c",0.255799729538219,0.0228012817986338
"1476","Rv0012",0.459551556000993,0.000187384628445149
"518","Rv0014c",-0.80577008969131,1.95670577548216e-06
"290","Rv0015c",-0.931508309758189,3.91177786059933e-07
"1444","Rv0016c",-0.442807483746214,0.000161495581623868
"1376","Rv0017c",-0.638470049386695,0.000125275762041424
"197","Rv0018c",-1.09777406563491,1.65117792352802e-07
"450","Rv0019c",-0.94907035405364,1.09707258533987e-06
"1865","Rv0020c",-0.341579043555409,0.000997918801490985
"2255","Rv0021c",-0.407972102289581,0.00472258396336675
"394","Rv0023",-1.34075580224667,7.94654754733747e-07
"1125","Rv0024",-0.635616496016916,4.01003731065965e-05
"1841","Rv0025",0.41958355739557,0.000914328399991106
"1164","Rv0026",-0.676840089704071,4.76603257200648e-05
"910","Rv0027",1.28504227209501,1.62147196763552e-05
"1918","Rv0028",0.682508062762424,0.00123473254095509
"1879","Rv0029",-0.375134502498268,0.00103192801969275
"2058","Rv0032",-0.530813604312377,0.002387496673672
"2149","Rv0034",0.958968494952681,0.00328384677574176
"2502","Rv0036c",0.222182672107651,0.0136447933253784
"2566","Rv0038",0.237632784490622,0.0173232166139531
"1764","Rv0039c",0.610159703230668,0.000652572653720457
"2343","Rv0040c",-0.350083903305521,0.0068627912483824
"1093","Rv0041",-0.639430514290818,3.40536131889645e-05
"2559","Rv0042c",0.211446769160726,0.0167880371471492
"2341","Rv0043c",0.773735735096485,0.00681333931672718
"2262","Rv0044c",0.378316681845866,0.0048184549963499
"193","Rv0045c",1.38565070898221,1.63665066834222e-07
"17","Rv0046c",2.9265045153028,8.76089365526299e-10
"54","Rv0047c",2.27369598977594,6.01563606638506e-09
"2075","Rv0049",0.463243138020122,0.00254257354938733
"1198","Rv0050",-0.458429326042155,5.39744284977071e-05
"1248","Rv0051",-0.559061577241959,6.86012090557493e-05
"2347","Rv0052",-0.373306364204638,0.00710596553630201
"1724","Rv0053",-0.406219156607093,0.000533503953051908
"2199","Rv0055",-0.352988525100772,0.00400399717456088
"1461","Rv0056",-0.432428242442999,0.000172158274982948
"253","Rv0057",-1.94799556713285,3.12293548334698e-07
"1500","Rv0060",0.442803141652798,0.000207282374809284
"2386","Rv0061c",-0.28008949145085,0.00904434240950564
"1550","Rv0062",-0.678317634814432,0.000277924928928434
"874","Rv0063",-0.855870505833717,1.41073372763282e-05
"2785","Rv0064",0.150689437077735,0.0454704296783886
"2340","Rv0066c",0.271626029109901,0.0067918926672364
"1672","Rv0068",1.04095756659051,0.000443750404915753
"2718","Rv0069c",-0.359930762730663,0.0317614483953982
"1703","Rv0070c",-1.10360545851416,0.000487193247030645
"2732","Rv0071",-0.405788993932907,0.0331051714321851
"1106","Rv0072",-0.563288299858406,3.60397472325165e-05
"808","Rv0073",-0.730961174198947,1.02187962885779e-05
"1186","Rv0074",-0.497355866399327,5.16179537968453e-05
"1211","Rv0075",-0.600523687150229,5.90818221466842e-05
