"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP"
"BSU_00010","BSU_00010",4.66114812312896,10.1011454648201,1.0277880987205,8.09459209725751,8.26775971399154,7.35158702910674,8.88496367419309,1.53337664508635,5.84101424210828,2.84903548938722,-0.591913679481969,0,-0.194039957296614,1.22182805601712,1.25253620113818
"BSU_00020","BSU_00020",4.93666154194067,10.118821013811,1.10397571571963,7.96030284385107,8.23769942178604,7.26331863644222,8.72355669822168,1.46023806177946,5.83939700161108,2.52073147607737,-0.567398703185098,0,-0.124651788760745,1.22862750448038,1.32192436967405
"BSU_00030","BSU_00030",5.77492134138938,10.3889996780135,0.971713495601693,7.70949545269652,7.70807435438304,6.99443636634026,8.32455033676877,1.33011397042851,5.84143833272682,2.70625711944626,0.26480505017849,0,-0.266313675483774,1.23802717108547,1.18026248295102
"BSU_00040","BSU_00040",6.30337926460483,10.9230664072199,0.963118243242754,8.7006507956946,8.84156928305293,8.10441165538935,9.18426860743182,1.07985695204247,5.84314911830702,3.04509998649426,-0.121711132469727,0,-0.235679251297953,1.19879749454071,1.21089690713684
"BSU_00050","BSU_00050",3.40572325631106,10.1939982125267,1.11397279021713,7.83023676021322,7.98276705288754,7.01290895516123,8.52208298714497,1.50917403198375,5.83884862769108,3.72353770131289,-0.468293929148621,0,-0.119816981302641,1.23378977151977,1.32675917713215
"BSU_00060","BSU_00060",6.28380668753998,10.879057750219,0.824352081155797,8.70251723800086,8.83191393217145,8.18027989616651,9.24134133793572,1.06106144176922,5.84478297669428,3.31342588768703,-0.319257757771923,0,-0.374418219383825,1.19877030053962,1.07215793905097
"BSU_00070","BSU_00070",6.45608156663179,11.5130597639226,0.86009863195948,8.98590360343733,9.06944055910572,8.56698774185864,9.41931862887867,0.852330887020031,5.84471216620676,3.83076258285353,-0.120024931925974,0,-0.337365567843494,1.19746419980297,1.1092105905913
"BSU_00080","BSU_00080",0,6.57913354491285,1.53034917560589,2.25773637502664,1.83386092955711,1.10492680678679,3.10691731690195,2.00199051011516,5.6210143871239,2.836728634612,0.812075138427096,0.0230547550432277,-0.211610466225777,1.74195964183167,1.23496569220902
"BSU_00090","BSU_00090",5.74367910949843,12.1310768637966,1.20868643395788,9.67553601909319,9.93028939308892,9.00133349226954,10.5965175406312,1.59518404836166,5.84116845797224,3.49943123157807,-0.901673153113379,0,-0.00627092609255397,1.21495736005044,1.44030523234224
"BSU_00100","BSU_00100",4.10364796730544,11.1083239434682,1.44483491528733,8.27537323443689,8.69092899216807,7.29110246704377,9.4267948645965,2.13569239755273,5.83330497020072,2.76951203522833,-0.633191247424729,0,0.232953042649904,1.21188187263743,1.6795292010847
"BSU_00110","BSU_00110",6.48391580923799,10.8852243978926,0.953287147632268,9.04212996185253,9.13768437265506,8.63222333942285,9.72102747393642,1.08880413451357,5.84360047894519,3.28424566094228,-0.746046032367784,0,-0.244557198806886,1.19784434643915,1.20201895962791
"BSU_00120","BSU_00120",6.43793891759517,11.8018191792709,0.945460964665355,9.44906968886711,9.50601049070412,9.06605915694025,10.0217821649017,0.955723007961497,5.84418077442443,3.76666348536671,-0.707219182868418,0,-0.260851042804182,1.20631200746954,1.18572511563061
"BSU_00130","BSU_00130",4.94112926901001,10.3007066523199,1.18901377748811,8.11302015573698,8.47749732383688,7.45319909480903,8.93434819096469,1.48114909615566,5.83799723861378,3.01201804479569,-0.920977349549562,0,-0.031717023561016,1.22073080104913,1.41485913487378
"BSU_00140","BSU_00140",2.67946724189485,9.72977586952898,1.16117742719841,6.91548874772811,7.18119222908765,6.36847482683152,7.74884968405228,1.38037485722076,5.83402513688935,4.4211695856435,-1.07047403368228,0,-0.129580099336031,1.29075752653444,1.31699605909876
"BSU_00150","BSU_00150",2.46803189139485,9.34030056378708,1.16785936099114,6.68887418146812,6.98379288397708,6.00951603508539,7.51432886309627,1.50481282801088,5.83295148801095,3.57757948806667,-0.912792028054147,0,-0.142310048995356,1.3101694099865,1.30426610943944
"BSU_00160","BSU_00160",0.825649048339875,12.1592739261385,2.63602529184615,4.57800128584084,4.0498035388311,2.56421702423679,5.67735457625281,3.11313755201601,5.69432928335412,3.07861970791763,0.95481326219869,0,1.10165511837828,1.53437017346788,2.54823127681307
"BSU_00170","BSU_00170",0.589670442756973,11.0310753780408,1.87992103916933,4.1433944053775,3.93399236323024,2.64557984240658,5.37497401471045,2.72939417230387,5.74746865054551,2.99671896990397,0.619706396355583,0,0.294519142564031,1.5854018966053,1.74109530099883
"BSU_00180","BSU_00180",2.43280349419249,8.94901031749226,0.960795723732305,5.72523550824323,5.90289882086966,5.11667505687191,6.35277062036087,1.23609556348895,5.83452832581279,3.61348479891163,-0.590845212340475,0,-0.44852603237669,1.409321756109,0.998050126058104
"BSU_00190","BSU_00190",5.59970549516409,9.03523515965179,0.749910358817835,7.27711551838895,7.1971173073138,6.66875513848639,7.90424112624171,1.23548598775532,5.84402216667196,2.09714038728859,0.0631841199594179,0,-0.508700774181895,1.25861113299973,0.937875384252899
