"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP"
"PA0001","PA0001",6.10720465863793,11.9164070403362,1.01277403581778,8.69898232082928,8.69815491813339,8.05208509861126,9.22053716278414,1.16845206417288,6.23354963842332,3.60687427454034,0.346009941210016,0,-0.336611224523281,1.34938526034106,0.950828336402453
"PA0002","PA0002",5.88023709583032,10.6305896819408,0.875422450173364,8.67559791971096,8.88356001006714,8.06708422192258,9.31889063464879,1.25180641272621,6.23506213405125,2.90876411139589,-0.613531877219841,0,-0.472072897966272,1.34749534813964,0.815366662959463
"PA0003","PA0003",4.85619669057693,11.3833666590906,1.06218139855269,8.30092858262926,8.31721003855845,7.62668296189407,8.89453362246873,1.26785066057465,6.23199615711472,3.47290655394487,-0.0784419401852514,0,-0.257271111369462,1.31945250992215,1.03016844955627
"PA0004","PA0004",5.68215400094278,11.082468901406,0.931405370980873,8.34685817421973,8.40484044716992,7.85768000203418,9.01206522518512,1.15438522315095,6.23389460614168,3.2384999940413,-0.525882225688675,0,-0.391251635849517,1.32265700683039,0.896187925076218
"PA0005","PA0005",4.15645713711179,8.77345231339643,0.895040343184879,6.63787601237367,6.67390743868326,6.02576754420736,7.27897954797511,1.25321200376775,6.2310755839757,2.69490348558495,-0.11967832900842,0,-0.334292404063802,1.22933274724868,0.953147156861932
"PA0006","PA0006",4.3131588063119,9.73766342848618,0.869595342967616,6.60149105686035,6.64639216569234,6.13469088409356,7.10559739456687,0.970906510473305,6.23150033455108,3.4668454311631,-0.0744388275111985,0,-0.359304501763455,1.22889984473107,0.92813505916228
"PA0007","PA0007",3.05101257185907,9.4997533031016,1.28753262630507,6.11229092878881,5.97403207266906,5.20965310958551,7.06973882822645,1.86008571864094,6.21811659537022,2.64306652343224,0.265988319026896,0,0.0563003478761082,1.23123227842896,1.34373990880184
"PA0008","PA0008",3.81003437613275,9.86515055391434,1.11137118590899,6.59301793913954,6.55197041776278,5.82504760487901,7.45465507023797,1.62960746535895,6.22592175999075,2.6124154045853,0.00865219235853139,0,-0.117426794732942,1.22879798064193,1.17001276619279
"PA0009","PA0009",1.81535308994149,10.5281612379804,1.5444005424176,6.98402110034546,7.16545895760331,6.12974162743473,7.93154411502308,1.80180248758835,6.21420712373494,3.34562849945711,-0.447437446511598,0,0.309216621172841,1.23518392124475,1.59665618209858
"PA0010","PA0010",2.87865855341481,7.87750649120884,0.805215348334938,5.08391597724264,5.05847074073748,4.6184387640812,5.59089430074984,0.972455536668633,6.22768661982125,3.51495000274161,0.165372947956101,0,-0.467910624722456,1.27312597305739,0.819528936203279
