"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","DE_index"
"Rv0570",4.37496887147775,8.08313444298178,67.7480756526398,5.66935969175511e-14,1.11263873671092e-10,22.6470453871797,"Rv0570",52
"Rv0569",5.61231287038328,8.04011340068233,67.5217456842036,5.85034930154474e-14,1.11263873671092e-10,22.5284914808573,"Rv0569",52
"Rv1997",5.77267912472345,6.90532371509891,64.4686444211634,9.03388587972698e-14,1.11263873671092e-10,21.8536823599005,"Rv1997",52
"Rv3614c",3.99202034945458,9.06975494293858,62.8547582416071,1.14616403472668e-13,1.11263873671092e-10,22.0784859637793,"Rv3614c",52
"Rv0186A",4.77744268866285,9.0833405440818,55.7408075961291,3.53865413448129e-13,2.40243463165847e-10,21.0095965236468,"Rv0186A",52
"Rv3160c",4.73417902783788,7.09054840001884,55.4570338677377,3.71223481585136e-13,2.40243463165847e-10,20.8446489691865,"Rv3160c",52
"Rv1736c",5.56698275457892,7.19807762435038,53.9104433603875,4.84034270030406e-13,2.68168500745269e-10,20.5460467147841,"Rv1736c",52
"Rv3615c",4.1942325557081,8.83176427038413,53.1554724934121,5.52497554973512e-13,2.68168500745269e-10,20.5866405078134,"Rv3615c",52
"Rv2005c",4.9141427257172,7.80884653441537,51.3725337129608,7.6085038301947e-13,3.28264670807178e-10,20.2389608687411,"Rv2005c",52
"Rv3093c",-5.0079816165513,7.14353295824101,-50.5996271509153,8.7707733173677e-13,3.40569127913388e-10,19.9396376495437,"Rv3093c",52
"Rv3230c",3.12548851339569,8.63221146153285,48.761107122275,1.24091936357828e-12,4.27312875019836e-10,19.8015941057439,"Rv3230c",52
"Rv2629",3.33373656738803,9.07811735022529,48.1463036158847,1.39765919044317e-12,4.27312875019836e-10,19.6843577625625,"Rv2629",52
"Rv3229c",3.70107001378502,9.36266346582554,48.0267573796693,1.43061225219106e-12,4.27312875019836e-10,19.6610585426855,"Rv3229c",52
"Rv1737c",5.56413273970783,8.32654861203142,46.6155735008431,1.89198486647831e-12,5.24755516895376e-10,19.3678456267669,"Rv1737c",52
"Rv3161c",5.82910484280401,8.60281752515134,46.2192977133145,2.04957147464255e-12,5.30565735735801e-10,19.2925023400534,"Rv3161c",52
"Rv2627c",6.87687558803377,8.54757828802997,43.2546385522312,3.81400652004439e-12,8.76089365526299e-10,18.6699849938736,"Rv2627c",52
"Rv0046c",2.9265045153028,9.07082772848942,43.1376121672183,3.91201637561588e-12,8.76089365526299e-10,18.6499676052035,"Rv0046c",52
"Rv0677c",5.00440255515569,8.19163690468065,42.5645830071768,4.43392570194658e-12,8.76089365526299e-10,18.5315939167861,"Rv0677c",52
"Rv1813c",7.53501225028916,9.25092454680595,42.4948788741277,4.50249920194889e-12,8.76089365526299e-10,18.5087098804153,"Rv1813c",52
"Rv3094c",-5.00193459029372,7.25833817292236,-42.4848761232583,4.51243556799536e-12,8.76089365526299e-10,18.4540085079208,"Rv3094c",52
"Rv0676c",4.28176116854255,9.52116423876751,41.4467865391657,5.68854169215096e-12,1.05183844717248e-09,18.2737869991191,"Rv0676c",52
"Rv3132c",2.9200990255695,7.95822591664251,39.6128389887542,8.68885042443426e-12,1.53358209991265e-09,17.8455812792411,"Rv3132c",52
"Rv1219c",4.41085448322915,6.21897351427206,39.1393612224904,9.72356023012972e-12,1.58487019768219e-09,17.7220464012849,"Rv1219c",52
"Rv3127",5.13856444162319,9.95836110986062,39.1084317073187,9.79574677939029e-12,1.58487019768219e-09,17.7260083306524,"Rv3127",52
