"","gene","MinExpr","MaxExpr","SD_logRPKM","Mean_logRPKM","Median_logRPKM","Q.25_logRPKM","Q.75_logRPKM","IQR_logRPKM","ShannonIndex","Kurtosis","Skewness","ZeroExpr_proportion","residual.SD_logRPKM","LOESS.fit","TP","gene_name","synonyms","gene_product","COG","regulator","uniprot","start","end","strand","essential","core_genome","iML1515","oxidizeME","DGF_strain","MS57","pseudogene","y_ome","k_eff","schmidt_prot_med","heckmann_prot_med","proteomics","p1k","p1k_ctrl_log_tpm","p1k_median_log_tpm","p1k_mad_log_tpm","in_iM","length"
"2","b0002",0,12.2205979989387,1.36212068945845,9.76519716548832,10.1117381971558,9.23106540062928,10.6260397043408,1.39497430371156,6.88685704082358,11.9458545949473,-2.13220256299779,0.00201816347124117,0.483760917716626,0.87835977174182,1.39559060973819,"thrA","thrA;thrA1;thrA2","fused aspartate kinase/homoserine dehydrogenase 1","Amino acid transport and metabolism","RpoD,Ile-tRNA,Thr-tRNA,DksA,Fnr,ArcA,ppGpp","P00561",337,2799,"+","False","False","True","True","True","True","False","False","True",4101.5,4434,"True","True",10.31456227,9.60532895,1.042142713038,"True",2463
"3","b0003",5.74857008895669,11.6766871791159,1.09483504546145,9.49803254423789,9.77471201419943,8.89287710688681,10.284149934186,1.39127282729921,6.89182112043073,3.16294350037214,-0.796601567902712,0,0.217598680227821,0.877236365233628,1.12942837224938,"thrB","thrB","homoserine kinase","Nucleotide transport and metabolism","RpoD,Ile-tRNA,Thr-tRNA,DksA,ppGpp","P00547",2801,3733,"+","False","False","True","True","True","True","False","False","True",442,1177,"True","True",9.9822505955,9.232802827,1.0356537790704,"True",933
"4","b0004",5.78025086620113,11.7365978054747,1.03510585218538,9.46479738756515,9.71801880767351,8.93034986715712,10.2046497850134,1.27429991785632,6.89246805929936,3.77839004182401,-1.00804059328742,0,0.157987529720099,0.877118322465282,1.06981722174166,"thrC","thrC","threonine synthase","Amino acid transport and metabolism","RpoD,ppGpp,Ile-tRNA,Thr-tRNA,DksA","P00934",3734,5020,"+","False","False","True","True","True","True","False","False","True",8818.5,3516,"True","True",9.973666136,9.274270585,0.906287072745601,"True",1287
"5","b0005",2.00423384338227,13.1079851512234,1.44269260677432,6.51414429054747,6.75953508491388,5.80431215193892,7.42891971543295,1.62460756349403,6.87288158567734,5.34759468750675,-0.118668196457378,0,0.544953890443025,0.897738716331297,1.45678358246459,"yaaX","yaaX","DUF2502 domain-containing protein YaaX","Function unknown","Lrp","P75616",5234,5530,"+","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",7.1324817945,6.283660806,1.0931461738218,"True",297
"6","b0006",5.22769843362555,11.2053945214725,0.663993526403443,6.73200831425456,6.75409497112496,6.36424290678427,6.98815822547142,0.623915318687144,6.89410341813328,13.0437346500756,2.05828201746697,0,-0.224697032854482,0.888690559257924,0.68713265916708,"yaaA","yaaA","peroxide stress resistance protein YaaA","Function unknown","","P0A8I3",5683,6459,"-","False","False","False","False","True","True","False","True","True",539.5,333,"True","True",6.4949411375,6.346626025,0.4545190303836,"True",777
"7","b0007",2.36198978045046,7.3902422637023,0.970302117263401,4.04405269694664,3.70407850315003,3.35905512744666,4.49441622370028,1.13536109625362,6.87178560014736,3.36845540966315,1.11292634621133,0,-0.0324163573186488,1.00271847458205,0.879413334702912,"yaaJ","yaaJ","putative transporter YaaJ","Amino acid transport and metabolism","","P30143",6529,7959,"-","False","False","True","True","True","True","False","True","False",NA,NA,"False","True",2.9885548745,3.38263706820185,0.718048207471333,"True",1431
"8","b0008",8.70298742280815,13.5259868951302,0.621427361605552,10.7890443723777,10.8190268650112,10.4375436832329,11.1329161771932,0.695372493960248,6.8970560007819,5.04946324246588,0.0961523497891954,0,-0.263725119993387,0.885152481598939,0.648104572028174,"talB","talB;yaaK","transaldolase B","Carbohydrate transport and metabolism","","P0A870",8238,9191,"+","False","False","True","True","True","True","False","False","True",9899,7449,"True","True",10.68361468,10.40185081,0.493280308626001,"False",954
"9","b0009",3.66212017398233,9.03536526917129,0.56985967943598,6.46908875880137,6.41847943488409,6.14479338080884,6.8029035662047,0.65811018539586,6.89479300754532,5.8922789493924,-0.113403720268042,0,-0.330238723563967,0.900098402999947,0.581590968457594,"mog","mog;chlG;mogA;yaaG","molybdopterin adenylyltransferase","Nucleotide transport and metabolism","","P0AF03",9306,9893,"+","False","False","True","True","True","True","False","False","True",24,222,"True","True",5.9642162795,6.016844178,0.500443287714837,"True",588
"10","b0010",2.21334498963585,8.89119163241694,0.783182051958638,4.88163231883999,4.8482962218076,4.37787909101171,5.29142994035257,0.913550849340861,6.88614414623585,5.75357901787877,0.805870307132266,0,-0.210625917324623,0.99380796928326,0.701203774696938,"satP","satP;yaaH","acetate/succinate:H(+) symporter","Function unknown","ppGpp","P0AC98",9928,10494,"-","False","False","True","False","True","True","False","False","False",NA,NA,"False","True",4.7168462575,4.49441852,0.6492068643606,"False",567
"11","b0011",0,4.19822027721592,0.526765866596726,2.43692622668685,2.4578527787131,2.11735241203096,2.74604150381134,0.628689091780381,6.87402747123619,4.16867246131001,-0.131657030276361,0.00100908173562059,-0.373679991502732,0.900445858099458,0.538149700518829,"yaaW","yaaW","putative enzyme-specific chaperone YaaW","Function unknown","","P75617",10643,11356,"-","False","False","False","False","True","True","False","True","False",NA,NA,"False","True",1.903270928,2.109164007,0.5343640234296,"False",714
"12","b0012",0,5.90608767337338,0.757819881201002,0.847989276799437,0.75494830888939,0.354346253541721,1.16579775844772,0.811451504906,6.49690767634856,8.22815913930048,1.71839632651533,0.198789101917255,-0.00748549451354574,0.765305375714547,0.904344197508015,"mbiA","","uncharacterized protein MbiA","No COG annotation","RpoH","UPI000016F239",10830,11315,"+","False","False","False","False","False","False","False","True","False",NA,NA,"False","True",0.299486482,0.594026547,0.5102842895388,"True",486
